regime_id,regime_start,regime_end,episode_start,episode_end,max_drawdown_pct,peak_at_start,ended_by
15,2024-11-08,2025-02-01,2024-11-12,2024-11-23,9.359459588110857,3374.81298828125,new_peak
15,2024-11-08,2025-02-01,2024-11-24,2024-11-25,0.9588143309746846,3396.223388671875,new_peak
15,2024-11-08,2025-02-01,2024-11-26,2024-11-27,2.549450445705569,3413.5439453125,new_peak
15,2024-11-08,2025-02-01,2024-11-28,2024-11-30,2.1173767078749113,3657.249267578125,new_peak
15,2024-11-08,2025-02-01,2024-12-02,2024-12-04,2.437330816294685,3711.1650390625,new_peak
15,2024-11-08,2025-02-01,2024-12-05,2024-12-06,0.789381427285413,3841.3310546875,new_peak
15,2024-11-08,2025-02-01,2024-12-07,2025-02-01,23.183772352173964,4005.810546875,regime_end
18,2025-07-05,2025-11-03,2025-07-07,2025-07-08,1.0976581842489188,2571.236572265625,new_peak
18,2025-07-05,2025-11-03,2025-07-12,2025-07-13,0.5062604917237437,2957.88623046875,new_peak
18,2025-07-05,2025-11-03,2025-07-22,2025-07-27,3.5518080095783464,3763.371337890625,new_peak
18,2025-07-05,2025-11-03,2025-07-28,2025-08-07,12.450959206854908,3875.24658203125,new_peak
18,2025-07-05,2025-11-03,2025-08-10,2025-08-12,0.8591878171077358,4263.59912109375,new_peak
18,2025-07-05,2025-11-03,2025-08-14,2025-08-22,14.356016870391125,4756.27587890625,new_peak
18,2025-07-05,2025-11-03,2025-08-23,2025-11-03,25.438870608438823,4831.3486328125,regime_end
22,2026-08-19,2026-09-17,2026-08-22,2026-09-12,4.9211489844208165,2515.28173828125,new_peak
22,2026-08-19,2026-09-17,2026-09-13,2026-09-17,5.022187225172668,2525.944580078125,regime_end
